Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
RandomForestRegressor,0.8330068005980744,0.84162152913865,3.6441643017978853,0.022776126861572266
Ridge,0.6949913404348578,0.7107259141425835,4.924981932449413,0.004064083099365234
LinearRegression,0.6949721099736966,0.7107076757290218,4.925137187354502,0.003899812698364258
KNeighborsRegressor,0.6208652860520296,0.640423822882679,5.490922728564589,0.005119800567626953
Lasso,0.6176297304307173,0.6373551808450058,5.514302864619492,0.004393577575683594
ElasticNet,0.6032622134673582,0.6237288453122961,5.61694717793115,0.003827333450317383
SVR,0.5187911829528998,0.5436154473243773,6.186077332858534,0.008824825286865234
NuSVR,0.5126663740852955,0.5378066008189906,6.225320942035943,0.006712198257446289
