Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
KNeighborsRegressor,1.5432626092678712,-0.0897913264070922,182.3113808219727,0.03541302680969238
NuSVR,1.4990279434380906,-0.001056054872803136,174.7315402802763,0.06540417671203613
SVR,1.4982932822199113,0.00041768436446643076,174.60287437262602,0.07320833206176758
Ridge,1.3129028284120536,0.3723131638467623,138.36097612046026,0.04801130294799805
LinearRegression,1.3123110647145664,0.37350024893931677,138.23007965101806,0.1060495376586914
ElasticNet,1.2626061407350124,0.47320892409669857,126.75389438966754,0.05316495895385742
RandomForestRegressor,1.2319843092123106,0.5346366863296133,119.13467338417911,2.543895721435547
Lasso,1.0001336702319132,0.9997318559075247,2.8597378505096,0.05250883102416992
