Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.9859649122807017,0.9826896404566308,0.9826896404566308,0.985934460065303,0.009164810180664062
SVC,0.9824561403508771,0.979942387709378,0.9799423877093781,0.9824373831337447,0.006707429885864258
RandomForestClassifier,0.968421052631579,0.9689533767203671,0.9689533767203671,0.9685164813317606,0.06386566162109375
KNeighborsClassifier,0.9614035087719298,0.9550304064867172,0.9550304064867172,0.9612760643504843,0.023775577545166016
NuSVC,0.9543859649122807,0.9432145524378535,0.9432145524378535,0.9540140290994862,0.007322549819946289
