Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
RandomForestRegressor,0.8265471024936182,0.8354950694284712,3.713978080949155,0.09604477882385254
Ridge,0.6949913404348581,0.7107259141425837,4.924981932449411,0.003032684326171875
LinearRegression,0.6949721099736966,0.7107076757290218,4.925137187354501,0.0036077499389648438
KNeighborsRegressor,0.6208652860520296,0.640423822882679,5.490922728564589,0.0038957595825195312
Lasso,0.6176297304307173,0.6373551808450058,5.514302864619492,0.002768993377685547
ElasticNet,0.6032622134673583,0.6237288453122962,5.6169471779311495,0.0027358531951904297
SVR,0.5187943595211355,0.5436184600220293,6.186056914977052,0.006992816925048828
NuSVR,0.5126652644308136,0.5378055484085891,6.225328029533075,0.0057032108306884766
