Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.894,0.89375,0.89375,0.8939910802655886,0.5156676769256592
SVC,0.764,0.7677884615384616,0.7677884615384616,0.762422723475355,0.1651918888092041
LogisticRegression,0.758,0.7591346153846154,0.7591346153846155,0.7580183920735682,0.047075748443603516
NuSVC,0.756,0.7580128205128205,0.7580128205128205,0.7557070828331331,0.168137788772583
KNeighborsClassifier,0.556,0.557852564102564,0.557852564102564,0.5553176229508195,0.05440163612365723
