Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.9859649122807017,0.9826896404566308,0.9826896404566308,0.985934460065303,0.008545637130737305
SVC,0.9824561403508771,0.979942387709378,0.979942387709378,0.9824373831337447,0.011850357055664062
RandomForestClassifier,0.968421052631579,0.966846260535581,0.9668462605355809,0.9684538331095434,0.018372535705566406
KNeighborsClassifier,0.9614035087719298,0.9550304064867172,0.9550304064867172,0.9612760643504843,0.006561279296875
NuSVC,0.9543859649122807,0.9432145524378535,0.9432145524378535,0.9540140290994862,0.007389545440673828
