Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
KNeighborsRegressor,2.1600894133219946,-0.16101785622981502,191.29097134890202,0.6041672229766846
NuSVR,1.9989105573018193,0.00028999447304922654,177.5055932085605,1.0268874168395996
SVR,1.9980463968747242,0.0011548465051279821,177.4287962932989,1.1467347145080566
LinearRegression,1.5109865332577437,0.4886045139345271,126.95606939279872,2.7828142642974854
Ridge,1.510981958076811,0.4886090927770691,126.95550103311568,0.7558426856994629
ElasticNet,1.3613882378831699,0.6383225358360114,106.76668226804559,0.7268126010894775
RandomForestRegressor,1.338034996186867,0.6616944676016989,103.2593942131,114.48002862930298
Lasso,1.0003042689935049,0.9996954874938954,3.097972723376171,0.6454987525939941
