Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
Lasso,0.42129630864440015,0.44760102188783657,57.51038174478733,0.0042836666107177734
Ridge,0.4180792379574827,0.444530181686688,57.67001313232071,0.0037832260131835938
LinearRegression,0.41711961062076996,0.4436141737743714,57.717544452679086,0.003910541534423828
ElasticNet,0.4083815464663956,0.43527329435428674,58.14856211137338,0.003803730010986328
RandomForestRegressor,0.4069357115919784,0.4338931792468885,58.21957233366568,0.02071094512939453
KNeighborsRegressor,0.3538423290674132,0.3832131322916217,60.76973973095759,0.0044062137603759766
SVR,0.0753720478980302,0.11740059117539248,72.69451330160194,0.009743213653564453
NuSVR,0.07418998348527894,0.11627225696322085,72.7409655805737,0.005860090255737305
