Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.89,0.8893840713062682,0.8893840713062681,0.8896576841378259,0.36147069931030273
NuSVC,0.752,0.751820262117745,0.751820262117745,0.7519285348360654,0.06041765213012695
SVC,0.752,0.7517722552047494,0.7517722552047494,0.7518888088261196,0.05893445014953613
LogisticRegression,0.728,0.7277687987070138,0.7277687987070138,0.7278780483899377,0.040944814682006836
KNeighborsClassifier,0.56,0.560656734569778,0.560656734569778,0.5587298736288407,0.03740239143371582
