Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
Lasso,0.42129630864440093,0.44760102188783724,57.510381744787296,0.002715587615966797
Ridge,0.41807923795748214,0.44453018168668756,57.67001313232073,0.0027298927307128906
LinearRegression,0.41711961062076963,0.44361417377437107,57.71754445267909,0.003162860870361328
ElasticNet,0.4083815464663957,0.43527329435428685,58.14856211137337,0.002614736557006836
RandomForestRegressor,0.38993439779284944,0.41766465243862905,59.048163296480126,0.0807950496673584
KNeighborsRegressor,0.3538423290674132,0.3832131322916217,60.76973973095759,0.003957033157348633
SVR,0.07537204785174767,0.1174005911312137,72.69451330342132,0.006460428237915039
NuSVR,0.07418998362765084,0.11627225709912126,72.74096557498062,0.0044939517974853516
